model,label name,F1,precision,recall,n
oro_development_stage,Design__observeconceptpreliminary_testingside_effects,0.6873285132065492,0.5251994539261517,1.0,508.0
oro_development_stage,Evaluating_future_placementupscaling_potential,0.4310254392866509,0.4212962962962963,0.4509157509157509,180.0
oro_development_stage,Implemented_continued_assessment,0.5468253968253968,0.6406051360284769,0.5441739914356547,327.0
oro_development_stage_mitigation,,0.3226487211281661,0.3777216610549944,0.3090942100746022,
oro_development_stage_mitigation,oro_development_stage.Design__observeconceptpreliminary_testingside_effects,0.7860265945458643,0.6475971617481051,1.0,
oro_development_stage_mitigation,oro_development_stage.Evaluating_future_placementupscaling_potential,0.409313725490196,0.3633958633958634,0.5333333333333333,
oro_development_stage_mitigation,oro_development_stage.Implemented_continued_assessment,0.3054334554334554,0.2051910078225867,0.6097883597883598,
oro_development_stage_nature,,0.2861013351209429,0.3487654320987654,0.3301366843033509,
oro_development_stage_nature,oro_development_stage.Design__observeconceptpreliminary_testingside_effects,0.5868107926931456,0.6018518518518517,0.6689814814814815,
oro_development_stage_nature,oro_development_stage.Evaluating_future_placementupscaling_potential,0.2450980392156862,0.4619047619047619,0.3,
oro_development_stage_nature,oro_development_stage.Implemented_continued_assessment,0.2714932126696832,0.4444444444444444,0.3214285714285714,
oro_development_stage_societal,,0.3644989398252214,0.4773185833425862,0.3787655336674944,
oro_development_stage_societal,oro_development_stage.Design__observeconceptpreliminary_testingside_effects,0.35005291005291,0.5198257080610021,0.2718947718947718,
oro_development_stage_societal,oro_development_stage.Evaluating_future_placementupscaling_potential,0.316989053831159,0.3084428514536041,0.5831649831649832,
oro_development_stage_societal,oro_development_stage.Implemented_continued_assessment,0.676777242756088,0.5787967086334231,0.8273647920706745,
scientific_discipline,,0.424032350520453,0.4542699810680052,0.4383007066426976,947.0
scientific_discipline,Chemistry,0.7166666666666668,0.6602443609022557,0.7869674185463659,128.0
scientific_discipline,Biogeochemistry,0.6498924731182796,0.5816798941798942,0.7387612387612389,116.0
scientific_discipline,Biology,0.7171659611418648,0.6604541206223541,0.7864078364078364,320.0
scientific_discipline,Economics,0.1746031746031745,0.3,0.1489898989898989,82.0
scientific_discipline,Engineering,0.7542980061222803,0.7521241830065359,0.7591520387219312,210.0
scientific_discipline,Physical_science,0.0,0.0,0.0,90.0
scientific_discipline,Political_science,0.3674603174603174,0.3825757575757575,0.3846153846153846,73.0
scientific_discipline,Science__tech__other,0.0,0.0,0.0,64.0
scientific_discipline,Social_science__other,0.7432018961430726,0.6657775235257075,0.850352262116968,215.0
scientific_discipline,Other,0.7429007531796437,0.6761783129599221,0.8284515980841706,272.0
